term	sem	KeyLLM
		0.0006666666666666666
112dihydro2acenaphthylenylpiperazine_lex	Chemical	0.0006666666666666666
11deoxycortisol_lex	Chemical	0.0006666666666666666
11dichloro222trifluoroethane_lex	Chemical	0.0006666666666666666
11ketopregnenolone_sulphate_lex	Chemical	0.0006666666666666666
125dihydroxyvitamin_d_lex	Chemical	0.0006666666666666666
125oh2d_lex	Chemical	0.0006666666666666666
12dimethylhydrazine_lex	Chemical	0.0006666666666666666
12yearold		0.0006666666666666666
131i		0.0006666666666666666
131ihippuran		0.0006666666666666666
13butadiene_lex	Chemical	0.0006666666666666666
13cisretinoic_acid_lex	Chemical	0.0006666666666666666
141cinsdel		0.0006666666666666666
1433e		0.0006666666666666666
14c41_ninety-nine_lex	Chemical	0.0006666666666666666
15f2tisop_lex	Chemical	0.0006666666666666666
15f2tisoprostane_lex	Chemical	0.0006666666666666666
15yearold		0.0006666666666666666
17alphaethinylestradiol_lex	Chemical	0.0006666666666666666
17betaestradiol_lex	Chemical	0.0026666666666666666
1anisoyl2pyrrolidinone_lex	Chemical	0.0006666666666666666
1chloro1222tetrafluoroethane_lex	Chemical	0.0006666666666666666
22oxacalcitriol_lex	Chemical	0.0006666666666666666
25dioacetyldglucaro1463dilactone_lex	Chemical	0.0006666666666666666
2acetylaminofluorene_lex	Chemical	0.0006666666666666666
2bromoethylamine_lex	Chemical	0.0006666666666666666
2chloroprocainece_lex	Chemical	0.0006666666666666666
2pam_lex	Chemical	0.0006666666666666666
2r4r4aminopyrrolidine24dicarboxylate_lex	Chemical	0.0006666666666666666
2r4rapdc_lex	Chemical	0.0006666666666666666
34dihydroxyphenylacetic_acid_lex	Chemical	0.0013333333333333333
34methylenedioxymethamphetamine_lex	Chemical	0.0013333333333333333
35stbps_lex	Chemical	0.0006666666666666666
35yearold		0.0006666666666666666
37dimethyl1propargylxanthine_lex	Chemical	0.0006666666666666666
3alphatropyl_2pbromophenylpropionate_lex	Chemical	0.0006666666666666666
3azido23deoxythymidine_lex	Chemical	0.0006666666666666666
3hlarginine_lex	Chemical	0.0006666666666666666
3hnaloxone_lex	Chemical	0.0006666666666666666
3htbob_lex	Chemical	0.0006666666666666666
3hydroxybutyrate_lex	Chemical	0.0006666666666666666
3hydroxymethyl55diphenylhydantoin_lex	Chemical	0.0006666666666666666
3ma_lex	Chemical	0.0006666666666666666
3mercaptopropionic_acid_lex	Chemical	0.0006666666666666666
3methoxy4hydroxyphenethyleneglycol_lex	Chemical	0.0006666666666666666
3methyladenine_lex	Chemical	0.0006666666666666666
3methylcholanthrene_lex	Chemical	0.0006666666666666666
3nitrotyrosine_lex	Chemical	0.0006666666666666666
3nt_lex	Chemical	0.0006666666666666666
3tc_lex	Chemical	0.0006666666666666666
3yearold		0.0006666666666666666
40tetrahydropyranyladriamycin_lex	Chemical	0.0006666666666666666
4aminopyridine_lex	Chemical	0.0013333333333333333
4damp_lex	Chemical	0.0013333333333333333
4diphenylacetoxynmethylpiperidine_lex	Chemical	0.0006666666666666666
4diphenylacetoxynmethylpiperidinemethiodide_lex	Chemical	0.0006666666666666666
4enevpa_lex	Chemical	0.0006666666666666666
4hne_lex	Chemical	0.0006666666666666666
4hydroxy2nonenal_lex	Chemical	0.0006666666666666666
57dcka_lex	Chemical	0.0006666666666666666
57dht_lex	Chemical	0.0006666666666666666
57dihydroxytryptamine_lex	Chemical	0.0013333333333333333
5azacytidine_lex	Chemical	0.0013333333333333333
5azadeoxycytidine		0.0006666666666666666
5azc_lex	Chemical	0.0006666666666666666
5fluorouracil_lex	Chemical	0.008666666666666666
5fu_lex	Chemical	0.004666666666666667
5h		0.0006666666666666666
5hiaa_lex	Chemical	0.0013333333333333333
5ht_lex	Chemical	0.004
5ht1a		0.002
5ht1b		0.0006666666666666666
5ht2a		0.0013333333333333333
